#{"t_start": 1738322313.3246574, "env_id": "None"}
r,l,t
-282565.052048,800,3.846024
-190058.332942,800,6.940519--175148.71654,800,13.686541
-171666.725861,800,16.750988-228459.024775,800,19.825502--271321.072699,800,26.775908-255236.56225,800,29.98943
-18-291677.783147,800,37.33608-25-251668.409775,800,40.55910-180478.399858,800,43.822851
-188953.01275,800,50.794274
-191-204588.580012,800,53.824988

